Date,Region,Location from list,Title,Code,Elevation,Caught,Buried,Killed,Aspect,Vertical Fall,Latitude,Longitude,Avalanche Type,Bed Surface,D size,R size,Problem Type,Trigger,Slab Thickness units
,,,,,,,,,,,,,,,,,,,
2/26/2025,Southern Madison,Taylor Fork,Cornice Fall Triggered Avalanche in Sage Basin,HS-NC-R2-D2-O,9200,0,0,,NE,200,44.9492,-111.309,Hard slab avalanche,O - Old snow,2,2,Cornice Fall,Cornice fall,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/25/2025,Cooke City,Miller Mtn.,"Rider buried near Cooke City, close call",HS-AMu,,0,0,,,,45.0465,-109.977,Hard slab avalanche,,,,Wind Slab,Snowmobile,centimeters
,,,,,,,,,,,,,,,,,,,
2/25/2025,Southern Madison,Taylor Fork,Cornice fall triggered slide in Sunlight Basin,HS-NC-R2-D2.5,9400,0,0,,N,300,44.9706,-111.31,Hard slab avalanche,,2.5,2,Cornice Fall,Cornice fall,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/25/2025,Cooke City,Crown Butte,Wind slab avalanche north of Crown Butte,SS-R2-D2-I,9600,0,0,,N,150,45.0556,-109.961,Soft slab avalanche,I - Interface between new and old snow,2,2,Wind Slab,,inches
2/25/2025,Northern Gallatin,Storm Castle,Cornice Fall Wind Slab Avalanche in Storm Castle Creek,SS-NC-R2-D2-I,,0,0,,E,,45.4504,-111.224,Soft slab avalanche,I - Interface between new and old snow,2,2,Wind-Drifted Snow,Cornice fall,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/24/2025,Cooke City,Lulu Pass,Snowmobile Triggered Avalanche Near Lulu Pass,SS-AMu-R1-D1-I,9700,0,0,,E,,45.0682,-109.957,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,Snowmobile,centimeters
2/24/2025,Cooke City,COOKE CITY,Many natural wind slab avalanches and cornice falls,SS-N-R1-D1.5,,0,0,,,,44.9695,-109.963,Soft slab avalanche,,1.5,1,Wind Slab,Natural trigger,inches
2/24/2025,Northern Madison,Wilson Peak,Old Avalanche N Madison,SS-NC-R2-D2,,0,0,,,150,45.327,-111.325,Soft slab avalanche,,2,2,Cornice Fall,Cornice fall,centimeters
2/24/2025,Northern Gallatin,Hyalite - main fork,Wet Snow Avalanches Hit Hyalite Road,WL-N-R1-D1-O,,0,0,,W,,45.4472,-110.962,Wet loose-snow avalanche,O - Old snow,1,1,Loose Wet,Natural trigger,centimeters
2/24/2025,Cooke City,Republic Mountain,Small Wind Slab on Republic Peak,SS-N-R1-D1-I,,0,0,,,,45.0003,-109.954,Soft slab avalanche,I - Interface between new and old snow,1,1,Wind Slab,Natural trigger,centimeters
2/24/2025,Cooke City,Mount Abundance,Remote triggered persistent slab east of Mt. Abundance,HS-AFr-R3-D2-O,8800,0,0,,NE,400,45.0808,-110.004,Hard slab avalanche,O - Old snow,2,3,Persistent Slab,Foot penetration,centimeters
2/23/2025,Cooke City,Republic Creek,Skier triggered wind slabs in Republic Creek,SS-AS-R2-D1-I,9800,0,0,,W,30,44.9855,-109.941,Soft slab avalanche,I - Interface between new and old snow,1,2,Wind Slab,Skier,inches
2/23/2025,Northern Madison,Buck Ridge,Rider-Triggered Wind Slab,SS-AMu-R2-D2,,0,0,,,,45.1719,-111.38,Soft slab avalanche,,2,2,,Snowmobile,inches
2/22/2025,Cooke City,Mount Abundance,Snowmobile triggered avalanche east of Mt. Abundance,HS-AMr-R3-D2-O,8800,0,0,,NE,,45.0773,-110.021,Hard slab avalanche,O - Old snow,2,3,Persistent Slab,Snowmobile,inches
2/22/2025,Bridger Range,Hardscrabble Peak,Natural wind slabs in N. Bridgers,HS-N-R2-D1.5-I,9000,0,0,,NE,,45.9151,-110.981,Hard slab avalanche,I - Interface between new and old snow,1.5,2,Wind Slab,Natural trigger,inches
2/22/2025,Southern Madison,Tepee Basin,Persistent Slab Avalanches Tepee Basin,SS-AMu-R3-D2-O,9000,1,1,,,250,44.9096,-111.194,Soft slab avalanche,O - Old snow,2,3,Persistent Slab,Snowmobile,inches
,,,,,,,,,,,,,,,,,,,
2/22/2025,Out of Advisory Area,Other place,Cornice triggered persistent slab in Suce Creek,ACc-R2-D2-O,,0,0,,N,,45.6553,-110.558,,O - Old snow,2,2,Persistent Slab,Cornice fall triggered by human or explosive action,inches
2/21/2025,Southern Madison,Tepee Basin,Snowmobile Triggered Avalanche and Partial Burial in Tepee Basin,SS-AMu-R2-D2,,1,1,,NE,150,44.9041,-111.185,Soft slab avalanche,,2,2,Persistent Weak Layer,Snowmobile,inches
2/21/2025,Southern Madison,Taylor Fork,Whumpfs and Shooting Cracks in Sunlight Basin,,,0,0,,,,45.0607,-111.272,,,,,,,centimeters
2/21/2025,Northern Madison,Gallatin Canyon,Pinwheels and small wet slide in Gallatin Canyon,,,0,0,,,,45.369,-111.175,,,,,,,centimeters
2/21/2025,Bridger Range,The Throne,Small wet loose slides in Bridgers,WL-N-R1-D1,8000,0,0,,S,,45.8822,-110.952,Wet loose-snow avalanche,,1,1,Loose Wet,Natural trigger,centimeters
2/21/2025,Southern Madison,Taylor Fork,Snowmobiler triggered avalanches in Taylor Fork,HS-AMr-R2-D2-O,9000,0,0,,SW,125,44.933,-111.324,Hard slab avalanche,O - Old snow,2,2,Persistent Slab,Snowmobile,inches
2/20/2025,Cooke City,Mt. Zimmer,Wet Loose Avalanche near Mt Zimmer,WL-N-R1-D1,,0,0,,S,,45.117,-109.893,Wet loose-snow avalanche,,1,1,Wet Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
2/19/2025,Out of Advisory Area,Black Canyon,Remotely Triggered Avalanche in Black Canyon,SS-AMr-R3-D2-O,8000,0,0,,,,44.478,-111.135,Soft slab avalanche,O - Old snow,2,3,Deep Persistent Slab,Snowmobile,inches
,,,,,,,,,,,,,,,,,,,
2/19/2025,Bridger Range,Saddle Peak,"Avalanche on Saddle Peak, Bridgers",L-NC,,0,0,,,,45.7943,-110.936,Loose-snow avalanche,,,,Loose Dry,Cornice fall,centimeters
2/19/2025,Lionhead Range,Lionhead Ridge,Remotely Triggered Avalanche Lionhead,SS-AMr-R3-D2-O,8600,0,0,,SE,200,44.7145,-111.318,Soft slab avalanche,O - Old snow,2,3,Persistent Slab,Snowmobile,inches
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/19/2025,Bridger Range,Frazier Basin,Frazier Basin Avalanches,SS-N,9000,0,0,,S,,45.9233,-110.98,Soft slab avalanche,,,,Wind Slab,Natural trigger,centimeters
2/19/2025,Cooke City,Mt. Zimmer,Wind Slab Avalanches near Mt Zimmer,SS-N-R1-D1,,0,0,,SW,75,45.117,-109.893,Soft slab avalanche,,1,1,Wind-Drifted Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
2/19/2025,Southern Madison,Taylor Fork,PWL and Wind Slab Avalanches in the S Madisons,SS-N-R2-D2,,0,0,,,,45.0607,-111.272,Soft slab avalanche,,2,2,Wind-Drifted Snow,Natural trigger,centimeters
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/18/2025,Bridger Range,Saddle Peak,"Cornice triggered natural avalanche, Saddle Peak",SS-NC-R1-D1.5,,0,0,,E,,45.7943,-110.936,Soft slab avalanche,,1.5,1,Wind-Drifted Snow,Cornice fall,inches
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2/17/2025,Cooke City,Republic Creek,Ski Cut Avalanche in Wyoming Bowl,SS-ASc,,0,0,,,,44.9855,-109.941,Soft slab avalanche,,,,Storm Slab,Skier,centimeters
2/17/2025,Bridger Range,The Throne,Natural storm slabs northern Bridgers,R2-D2-S,8500,0,0,,E,,45.8822,-110.952,,S - Avalanche released within new snow,2,2,Storm Slab,,centimeters
2/17/2025,Bridger Range,Wolverine Bowl,Small storm slabs Bridger Ridge,SS-N-R1-D1.5,8000,0,0,,E,,45.8301,-110.934,Soft slab avalanche,,1.5,1,Storm Slab,Natural trigger,inches
,,,,,,,,,,,,,,,,,,,
2/17/2025,Bridger Range,The Ramp,Storm snow instabilities,SS-N-R2-D2-S,,0,0,,,,45.8288,-110.931,Soft slab avalanche,S - Avalanche released within new snow,2,2,Storm Slab,Natural trigger,centimeters
2/17/2025,Northern Madison,Middle Basin,Small Wind Slab Avalanche On Middle Peak,SS-ASc-R1-D1-S,,0,0,,E,,45.3374,-111.381,Soft slab avalanche,S - Avalanche released within new snow,1,1,Storm Slab,Skier,centimeters
